Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AdminService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,30,6,8,7,0,16,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,2.00,0,0,0,0
File,"AdminServiceImpl.java",3,3,3,1,16,0,15,1,,,,,1,0,4,27,,27,27,6,27,,3,14,0,10,,538,48,443,124,312,47,,,,262,351,129,222,,,,,,10,10,13,3,,,5,,,,0.11,81,81,86,29
File,"AdminServiceImplTest.java",1,1,1,1,18,2,14,2,,,,,1,0,0,4,,4,4,0,4,,0,1,0,3,,112,15,72,31,47,27,,,,52,60,31,29,,,,,,1,1,1,1,,,2,,,,0.38,4,4,4,4
File,"AdminServiceMBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,13,13,10,13,,13,0,0,0,,53,7,28,27,11,18,,,,25,26,26,0,,,,,,0,0,0,0,,,0,,,,0.64,0,0,0,0
File,"AdminServiceMBeanImpl.java",1,1,1,1,6,0,6,0,,,,,1,0,0,18,,18,18,1,18,,0,2,0,16,,170,26,128,45,62,16,,,,56,91,45,46,,,,,,5,5,5,4,,,3,,,,0.13,33,33,33,21
File,"AdminServiceMBeanImplTest.java",1,1,1,1,19,3,16,0,,,,,1,0,0,11,,11,11,0,11,,0,0,0,11,,258,49,193,63,158,16,,,,167,179,61,118,,,,,,1,1,1,1,,,0,,,,0.08,11,11,11,11
File,"AdminTest.java",1,1,1,1,11,0,11,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,101,10,78,37,44,13,,,,49,59,30,29,,,,,,2,2,2,1,,,1,,,,0.17,7,7,7,5
File,"AggregateCompleter.java",1,1,1,1,10,2,7,1,,,,,2,0,0,4,,4,4,3,4,,0,0,0,4,,89,18,44,18,18,27,,,,24,35,20,15,,,,,,4,4,4,1,,,2,,,,0.61,7,7,7,4
File,"AllFeatureCompleter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,31,4,8,5,1,19,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.38,1,1,1,1
File,"AnnotatedSubShell.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,1,0,0,3,,43,6,20,8,7,17,,,,8,14,8,6,,,,,,2,2,2,1,,,1,,,,0.85,5,5,5,4
