AllTests.java: CH.ifa.draw.test.framework AllTests.java: CH.ifa.draw.test.samples.minimap 1->2: 8  2->1: 9
Figure.java: CH.ifa.draw.framework AnimationDecorator.java: CH.ifa.draw.samples.javadraw 1->2: 13  2->1: 10
JHDDragSourceListener.java: CH.ifa.draw.contrib.dnd DNDHelper.java: CH.ifa.draw.contrib.dnd 1->2: 5  2->1: 21
TextFigure.java: CH.ifa.draw.figures Figure.java: CH.ifa.draw.framework 1->2: 55  2->1: 173
Tool.java: CH.ifa.draw.framework JavaDrawViewer.java: CH.ifa.draw.samples.javadraw 1->2: 6  2->1: 40
DrawingView.java: CH.ifa.draw.framework UndoableHandleTest.java: CH.ifa.draw.test.util 1->2: 25  2->1: 0
CommandMenuItem.java: CH.ifa.draw.contrib CommandCheckBoxMenuItem.java: CH.ifa.draw.contrib 1->2: 14  2->1: 6
Painter.java: CH.ifa.draw.framework NullDrawingViewTest.java: CH.ifa.draw.test.standard 1->2: 136  2->1: 0
AlignCommand.java: CH.ifa.draw.standard Undoable.java: CH.ifa.draw.util 1->2: 0  2->1: 14
UndoableTool.java: CH.ifa.draw.util UndoableAdapter.java: CH.ifa.draw.util 1->2: 0  2->1: 13
NodeFigure.java: CH.ifa.draw.samples.net NullHandle.java: CH.ifa.draw.standard 1->2: 6  2->1: 16
BorderTool.java: CH.ifa.draw.figures CollectionsFactory.java: CH.ifa.draw.util 1->2: 0  2->1: 15
Drawing.java: CH.ifa.draw.framework CompositeFigure.java: CH.ifa.draw.standard 1->2: 331  2->1: 200
ResourceContentProducer.java: CH.ifa.draw.contrib.html StorableInput.java: CH.ifa.draw.util 1->2: 13  2->1: 3
AllTests.java: CH.ifa.draw.test.contrib AllTests.java: CH.ifa.draw.test.figures 1->2: 35  2->1: 40
TextFigure.java: CH.ifa.draw.figures FigureAttributeConstant.java: CH.ifa.draw.framework 1->2: 0  2->1: 63
Command.java: CH.ifa.draw.util RedoCommand.java: CH.ifa.draw.util 1->2: 11  2->1: 3
