joinObjectsRightOuterJoin; CommonJoinOperator.java; org.apache.hadoop.hive.ql.exec;7
joinObjectsFullOuterJoin; CommonJoinOperator.java; org.apache.hadoop.hive.ql.exec;7
writeEscaped; LazyUtils.java; org.apache.hadoop.hive.serde2.lazy;7
MPartition; MPartition.java; org.apache.hadoop.hive.metastore.model;7
getPartSchemaFromTableSchema; MetaStoreUtils.java; org.apache.hadoop.hive.metastore;7
initMapJoinPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;7
grantOrRevokePrivileges; DDLTask.java; org.apache.hadoop.hive.ql.exec;7
GroupByDesc; GroupByDesc.java; org.apache.hadoop.hive.ql.plan;7
generateIndexBuildTaskList; TableBasedIndexHandler.java; org.apache.hadoop.hive.ql.index;7
genSamplePredicate; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;7
TokenMgrError; TokenMgrError.java; org.apache.hadoop.hive.serde2.dynamic_type;7
