Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Assertion.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,75,7,8,7,0,60,,,,4,4,4,0,,,,,,0,0,0,0,,,0,,,,7.50,0,0,0,0
File,"Attr.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,0,0,0,5,,124,6,9,8,0,109,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,12.11,0,0,0,0
File,"Attr.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,0,0,0,7,,165,8,11,10,0,146,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,13.27,0,0,0,0
File,"AttrImpl.java",1,1,1,1,5,0,3,2,,,,,1,0,0,9,,9,9,2,9,,0,0,0,9,,141,20,40,19,11,81,,,,19,29,18,11,,,,,,1,1,1,1,,,0,,,,2.02,9,9,9,9
File,"AttrImpl.java",2,2,3,1,20,1,11,8,,,,,1,0,2,45,,45,45,3,45,,8,2,4,31,,1217,147,545,114,336,552,,,,260,388,111,277,,,,,,19,19,21,4,,,4,,,,1.01,131,131,145,54
File,"AttrNSImpl.java",3,3,3,1,17,0,12,5,,,,,1,0,3,13,,13,13,2,13,,1,1,2,9,,355,31,169,46,95,157,,,,68,106,34,72,,,,,,13,13,16,3,,,4,,,,0.93,39,39,47,17
File,"AttributeList.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,0,0,0,6,,191,21,9,8,0,161,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,17.89,0,0,0,0
File,"AttributeListImpl.java",1,1,1,1,16,0,6,9,,,,,1,0,0,12,,12,12,3,12,,0,0,0,12,,310,43,90,21,40,177,,,,34,55,22,33,,,,,,3,3,3,3,,,1,,,,1.97,20,20,20,18
File,"AttributeMap.java",4,4,5,1,32,2,21,9,,,,,1,0,0,15,,15,15,0,15,,3,1,6,5,,591,66,323,77,220,213,,,,167,235,72,163,,,,,,10,10,12,4,,,4,,,,0.66,69,69,75,22
File,"AttributePSVI.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,78,5,5,4,0,68,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,13.60,0,0,0,0
