project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDatum.Comparator,6.0,6.0,6.0,4.0,15.0,0.0,15.0,0.0,1.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,35,1,33,17,28,1,22,31,17,11.0,11.0,11.0,7.0,2.0,1,0.0,0.0,0.03,12,12,12,8,False
nutch,Public Class,org.apache.nutch.crawl.CrawlDb,3.0,3.0,3.0,1.0,18.0,1.0,17.0,0.0,2.0,8.0,0.0,,3.0,5.0,5.0,0.0,8.0,8.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,190,26,143,44,113,21,97,124,44,9.0,9.0,9.0,3.0,2.0,2,0.0,0.0,0.15,26,26,27,10,True
nutch,Public Class,org.apache.nutch.crawl.CrawlDbFilter,3.0,3.0,4.0,1.0,15.0,1.0,13.0,1.0,2.0,4.0,0.0,,0.0,4.0,3.0,7.0,3.0,3.0,3.0,7.0,3.0,3.0,0.0,0.0,0.0,3.0,93,16,54,18,31,27,27,39,16,7.0,7.0,9.0,1.0,1.0,2,38.0,38.0,0.5,11,11,13,3,False
nutch,Public Class,org.apache.nutch.crawl.CrawlDbMerger,2.0,2.0,2.0,1.0,14.0,1.0,12.0,0.0,2.0,7.0,0.0,,2.0,1.0,4.0,0.0,6.0,6.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,173,17,119,34,84,37,75,103,38,7.0,7.0,7.0,6.0,2.0,2,0.0,0.0,0.31,14,14,14,11,False
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbMerger.Merger,3.0,3.0,3.0,1.0,13.0,0.0,12.0,1.0,2.0,3.0,0.0,,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,48,3,42,12,26,3,21,34,14,7.0,7.0,7.0,3.0,2.0,3,55.0,55.0,0.07,9,9,9,5,False
nutch,Public Class,org.apache.nutch.crawl.CrawlDbReader,5.0,5.0,5.0,1.0,28.0,3.0,24.0,0.0,2.0,10.0,0.0,,1.0,3.0,8.0,1.0,9.0,9.0,8.0,1.0,9.0,9.0,0.0,2.0,0.0,7.0,484,60,396,111,292,32,246,344,108,19.0,19.0,19.0,1.0,1.0,4,66.0,33.0,0.08,48,48,50,9,False
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,52,4,48,10,34,0,33,40,9,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1,1,1,1,False
nutch,Protected Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.LineRecordWriter,1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,2.0,3.0,0.0,,0.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,43,3,40,5,31,0,30,35,5,2.0,2.0,2.0,1.0,1.0,1,0.0,0.0,0.0,5,5,5,3,False
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,0.0,0.0,,0.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,32,1,31,13,20,0,16,26,12,6.0,6.0,6.0,1.0,1.0,3,75.0,75.0,0.0,9,9,9,4,False
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatMapper,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,1.0,0.0,,0.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,20,0,20,9,11,0,10,15,8,2.0,2.0,2.0,1.0,1.0,1,50.0,50.0,0.0,4,4,4,3,False
