project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
nutch,Public Class,org.apache.nutch.crawl.SignatureComparator,4.0,4.0,4.0,4.0,7.0,0.0,7.0,0.0,2.0,0.0,0.0,,2.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,43,2,25,7,16,16,17,30,8,6.0,6.0,7.0,6.0,1.0,2,0.0,0.0,0.64,12,12,13,12,False
nutch,Public Class,org.apache.nutch.crawl.SignatureFactory,2.0,2.0,2.0,1.0,10.0,0.0,10.0,1.0,1.0,3.0,0.0,,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,49,2,23,8,15,25,11,17,8,4.0,4.0,4.0,1.0,1.0,3,0.0,0.0,1.09,5,5,5,2,False
nutch,Public Class,org.apache.nutch.crawl.TestCrawlDbMerger,2.0,2.0,2.0,1.0,19.0,0.0,19.0,0.0,1.0,5.0,0.0,,0.0,1.0,4.0,15.0,4.0,4.0,4.0,15.0,4.0,4.0,0.0,1.0,0.0,3.0,120,6,97,34,79,21,73,83,33,4.0,4.0,4.0,1.0,2.0,2,58.0,58.0,0.22,9,9,9,4,False
nutch,Public Class,org.apache.nutch.crawl.TestGenerator,1.0,1.0,1.0,1.0,22.0,4.0,12.0,5.0,1.0,5.0,0.0,,0.0,1.0,12.0,4.0,12.0,12.0,12.0,4.0,12.0,12.0,0.0,6.0,2.0,4.0,317,74,173,58,130,82,108,130,48,3.0,3.0,3.0,3.0,2.0,2,68.0,41.0,0.47,18,18,18,14,False
nutch,Public Class,org.apache.nutch.crawl.TestGenerator.ScoreComparator,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15,1,11,2,5,3,3,7,2,3.0,3.0,3.0,3.0,1.0,1,0.0,0.0,0.27,3,3,3,3,False
nutch,Public Class,org.apache.nutch.crawl.TestInjector,2.0,2.0,2.0,1.0,17.0,3.0,13.0,1.0,1.0,4.0,0.0,,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,2.0,1.0,93,20,60,19,44,15,48,58,21,3.0,3.0,3.0,3.0,2.0,2,25.0,25.0,0.25,10,10,10,6,False
nutch,Public Class,org.apache.nutch.crawl.TestLinkDbMerger,3.0,3.0,3.0,1.0,19.0,0.0,19.0,0.0,1.0,6.0,0.0,,0.0,1.0,4.0,19.0,4.0,4.0,4.0,19.0,4.0,4.0,0.0,1.0,0.0,3.0,141,9,115,50,91,29,76,89,47,4.0,4.0,4.0,1.0,2.0,2,65.0,65.0,0.25,12,12,12,4,False
nutch,Public Class,org.apache.nutch.crawl.TestSignatureFactory,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,3.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11,1,10,5,6,0,6,8,5,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1,1,1,1,False
nutch,Public Class,org.apache.nutch.crawl.TextProfileSignature,11.0,11.0,12.0,2.0,47.0,0.0,44.0,3.0,1.0,8.0,0.0,,1.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,162,7,108,39,76,47,67,96,41,18.0,18.0,19.0,4.0,2.0,5,50.0,0.0,0.44,23,23,24,5,False
nutch,Private Static Class,org.apache.nutch.crawl.TextProfileSignature.Token,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,13,2,11,5,3,0,5,8,5,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,2,2,2,2,False
nutch,Private Static Class,org.apache.nutch.crawl.TextProfileSignature.TokenComparator,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5,0,5,2,1,0,1,3,2,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,False
nutch,Public Class,org.apache.nutch.crawl.URLPartitioner,2.0,2.0,3.0,1.0,13.0,1.0,11.0,1.0,2.0,3.0,0.0,,0.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,78,10,45,16,32,23,26,35,16,5.0,5.0,6.0,1.0,1.0,2,33.0,33.0,0.51,8,8,11,3,False
nutch,Public Class,org.apache.nutch.fetcher.Fetcher,3.0,3.0,3.0,1.0,20.0,4.0,14.0,2.0,3.0,12.0,0.0,,3.0,4.0,10.0,14.0,13.0,13.0,10.0,14.0,13.0,13.0,0.0,3.0,0.0,10.0,1230,161,932,244,653,155,514,705,230,19.0,19.0,23.0,3.0,2.0,5,88.0,87.0,0.17,42,42,47,17,False
nutch,Private Static Class,org.apache.nutch.fetcher.Fetcher.FetchItem,2.0,2.0,2.0,1.0,10.0,0.0,9.0,1.0,1.0,4.0,0.0,,1.0,0.0,5.0,4.0,6.0,6.0,5.0,4.0,6.0,6.0,0.0,0.0,0.0,6.0,75,6,61,16,34,9,31,44,16,7.0,7.0,7.0,4.0,1.0,2,66.0,50.0,0.15,12,12,12,9,False
nutch,Private Static Class,org.apache.nutch.fetcher.Fetcher.FetchItemQueue,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,,0.0,0.0,12.0,8.0,12.0,12.0,12.0,8.0,12.0,12.0,0.0,2.0,0.0,10.0,98,12,80,25,47,6,47,69,26,5.0,5.0,5.0,4.0,1.0,1,73.0,64.0,0.07,22,22,22,15,False
nutch,Private Static Class,org.apache.nutch.fetcher.Fetcher.FetchItemQueues,2.0,2.0,2.0,1.0,10.0,0.0,8.0,1.0,1.0,4.0,0.0,,0.0,4.0,13.0,9.0,13.0,13.0,13.0,9.0,13.0,13.0,0.0,0.0,0.0,13.0,173,21,131,43,83,21,76,110,46,5.0,5.0,6.0,4.0,1.0,2,76.0,65.0,0.16,31,31,37,23,False
nutch,Private Class,org.apache.nutch.fetcher.Fetcher.FetcherThread,15.0,13.0,17.0,5.0,83.0,5.0,72.0,7.0,1.0,31.0,0.0,,0.0,0.0,5.0,13.0,5.0,5.0,5.0,13.0,5.0,5.0,0.0,3.0,0.0,2.0,439,33,375,66,286,40,187,253,53,41.0,30.0,46.0,17.0,2.0,8,55.0,44.0,0.11,77,66,88,28,False
nutch,Public Static Class,org.apache.nutch.fetcher.Fetcher.InputFormat,2.0,2.0,2.0,1.0,12.0,0.0,11.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14,0,13,6,7,1,7,10,6,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.08,2,2,2,1,False
nutch,Private Static Class,org.apache.nutch.fetcher.Fetcher.QueueFeeder,3.0,3.0,4.0,3.0,19.0,0.0,18.0,1.0,1.0,3.0,0.0,,0.0,0.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,72,3,62,17,43,7,34,45,16,9.0,9.0,11.0,7.0,2.0,5,33.0,33.0,0.11,11,11,13,9,False
nutch,Public Class,org.apache.nutch.fetcher.FetcherOutput,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,3.0,0.0,,0.0,0.0,9.0,3.0,9.0,9.0,9.0,3.0,9.0,9.0,0.0,0.0,0.0,9.0,70,10,44,16,25,16,23,36,15,3.0,3.0,3.0,1.0,1.0,1,44.0,44.0,0.36,14,14,15,9,False
nutch,Public Class,org.apache.nutch.fetcher.FetcherOutputFormat,2.0,2.0,3.0,1.0,35.0,6.0,29.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,92,14,61,16,39,17,21,36,14,4.0,4.0,5.0,1.0,1.0,1,0.0,0.0,0.28,5,5,6,2,False
nutch,Anonymous Class,org.apache.nutch.fetcher.FetcherOutputFormat.getRecordWriter.(Anon_1),3.0,3.0,3.0,1.0,10.0,1.0,9.0,0.0,1.0,7.0,0.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,38,6,32,1,24,0,11,20,5,4.0,4.0,4.0,1.0,2.0,1,0.0,0.0,0.0,7,7,7,2,False
nutch,Public Class,org.apache.nutch.fetcher.OldFetcher,2.0,2.0,2.0,1.0,12.0,2.0,9.0,1.0,3.0,9.0,0.0,,3.0,4.0,9.0,13.0,12.0,12.0,9.0,13.0,12.0,12.0,0.0,2.0,0.0,10.0,548,87,414,98,289,68,215,298,92,7.0,7.0,7.0,3.0,2.0,3,89.0,87.0,0.16,25,25,25,16,False
nutch,Private Class,org.apache.nutch.fetcher.OldFetcher.FetcherThread,12.0,9.0,13.0,4.0,61.0,6.0,51.0,6.0,1.0,26.0,0.0,,0.0,0.0,5.0,9.0,5.0,5.0,5.0,9.0,5.0,5.0,0.0,3.0,0.0,2.0,325,36,267,46,197,34,125,178,40,30.0,19.0,35.0,13.0,2.0,6,60.0,42.0,0.13,60,49,69,21,False
nutch,Public Static Class,org.apache.nutch.fetcher.OldFetcher.InputFormat,2.0,2.0,2.0,1.0,13.0,0.0,12.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15,0,14,7,8,1,8,11,7,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.07,2,2,2,1,False
nutch,Public Class,org.apache.nutch.fetcher.TestFetcher,2.0,2.0,2.0,1.0,25.0,5.0,18.0,2.0,1.0,8.0,0.0,,0.0,1.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,0.0,1.0,2.0,2.0,155,33,100,34,79,23,73,84,33,7.0,7.0,8.0,5.0,2.0,2,50.0,46.0,0.23,13,13,14,9,False
nutch,Public Class,org.apache.nutch.indexer.IndexerMapReduce,5.0,5.0,6.0,3.0,27.0,3.0,22.0,2.0,3.0,18.0,0.0,,1.0,1.0,4.0,2.0,5.0,5.0,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,153,25,118,28,87,12,61,89,22,19.0,19.0,25.0,12.0,2.0,4,60.0,60.0,0.1,26,26,32,16,False
nutch,Public Class,org.apache.nutch.indexer.IndexerOutputFormat,2.0,2.0,2.0,1.0,27.0,5.0,21.0,1.0,1.0,3.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,31,6,24,7,12,1,6,16,9,2.0,2.0,2.0,1.0,2.0,0,0.0,0.0,0.04,2,2,2,1,False
nutch,Anonymous Class,org.apache.nutch.indexer.IndexerOutputFormat.getRecordWriter.(Anon_1),2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,1.0,3.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,13,2,11,0,7,0,2,8,4,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.0,4,4,4,2,False
nutch,Public Class,org.apache.nutch.indexer.IndexingException,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,35,5,14,5,4,16,4,9,5,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,1.14,4,4,4,4,False
nutch,Public Class,org.apache.nutch.indexer.IndexingFilters,6.0,6.0,7.0,2.0,35.0,0.0,29.0,6.0,1.0,11.0,0.0,,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,99,7,63,21,45,29,32,46,19,10.0,10.0,11.0,3.0,1.0,5,0.0,0.0,0.46,13,13,14,4,False
nutch,Public Class,org.apache.nutch.indexer.IndexingFiltersChecker,2.0,2.0,2.0,1.0,16.0,3.0,13.0,0.0,2.0,14.0,0.0,,1.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,101,24,70,28,47,7,36,53,27,10.0,10.0,10.0,3.0,2.0,3,40.0,40.0,0.1,14,14,14,7,False
nutch,Public Class,org.apache.nutch.indexer.NutchDocument,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,3.0,2.0,0.0,,0.0,1.0,12.0,3.0,12.0,12.0,12.0,3.0,12.0,12.0,0.0,0.0,0.0,12.0,97,16,79,25,43,2,41,61,26,3.0,3.0,3.0,3.0,1.0,1,50.0,50.0,0.03,18,18,18,14,False
nutch,Public Class,org.apache.nutch.indexer.NutchField,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,10.0,2.0,10.0,10.0,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,69,12,37,13,13,20,12,24,13,2.0,2.0,2.0,1.0,1.0,1,60.0,50.0,0.54,11,11,11,10,False
nutch,Public Class,org.apache.nutch.indexer.NutchIndexWriterFactory,2.0,2.0,2.0,1.0,13.0,1.0,12.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,32,4,28,12,16,0,13,19,10,3.0,3.0,3.0,1.0,1.0,2,0.0,0.0,0.0,5,5,5,2,False
nutch,Public Class,org.apache.nutch.indexer.TestIndexingFilters,1.0,1.0,1.0,1.0,15.0,1.0,10.0,5.0,1.0,11.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19,3,12,6,8,5,6,8,6,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.42,1,1,1,1,False
nutch,Public Class,org.apache.nutch.indexer.anchor.AnchorIndexingFilter,2.0,2.0,2.0,1.0,12.0,2.0,8.0,1.0,2.0,5.0,0.0,,0.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,66,12,32,13,18,22,16,23,11,5.0,5.0,5.0,1.0,1.0,3,33.0,33.0,0.69,8,8,8,3,False
nutch,Public Class,org.apache.nutch.indexer.basic.BasicIndexingFilter,4.0,4.0,4.0,1.0,21.0,3.0,16.0,2.0,2.0,7.0,0.0,,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,92,15,55,17,35,23,30,41,16,10.0,10.0,12.0,1.0,1.0,2,33.0,33.0,0.42,12,12,14,3,False
nutch,Public Class,org.apache.nutch.indexer.feed.FeedIndexingFilter,3.0,3.0,3.0,1.0,23.0,2.0,12.0,8.0,2.0,8.0,0.0,,0.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,110,15,43,18,27,52,21,34,19,8.0,8.0,8.0,1.0,1.0,2,33.0,33.0,1.21,10,10,10,3,False
nutch,Public Class,org.apache.nutch.indexer.more.MoreIndexingFilter,2.0,2.0,2.0,1.0,20.0,2.0,12.0,5.0,2.0,11.0,0.0,,1.0,2.0,8.0,5.0,9.0,9.0,8.0,5.0,9.0,9.0,1.0,5.0,0.0,3.0,255,34,133,32,93,92,54,79,30,5.0,5.0,5.0,4.0,1.0,3,87.0,79.0,0.69,22,22,22,12,False
nutch,Public Class,org.apache.nutch.indexer.more.TestMoreIndexingFilter,1.0,1.0,1.0,1.0,9.0,0.0,9.0,1.0,1.0,14.0,0.0,,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,2.0,0.0,3.0,56,6,47,16,32,5,29,37,16,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.11,7,7,7,5,False
nutch,Public Class,org.apache.nutch.indexer.solr.SolrClean,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,2.0,7.0,0.0,,1.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,148,23,117,43,67,8,55,79,30,3.0,3.0,4.0,1.0,1.0,1,60.0,19.0,0.07,7,7,8,5,False
nutch,Public Static Class,org.apache.nutch.indexer.solr.SolrClean.DBFilter,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,,0.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,19,4,15,10,3,0,2,7,5,2.0,2.0,2.0,1.0,1.0,1,66.0,66.0,0.0,4,4,4,3,False
nutch,Public Static Class,org.apache.nutch.indexer.solr.SolrClean.SolrDeleter,3.0,3.0,3.0,1.0,15.0,0.0,14.0,0.0,2.0,2.0,0.0,,0.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,3.0,60,5,55,16,34,0,25,36,11,4.0,4.0,5.0,1.0,1.0,3,26.0,26.0,0.0,10,10,11,3,False
nutch,Public Class,org.apache.nutch.indexer.solr.SolrDeleteDuplicates,2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,3.0,7.0,0.0,,1.0,3.0,8.0,5.0,9.0,9.0,8.0,5.0,9.0,9.0,0.0,0.0,0.0,9.0,346,69,247,77,150,30,129,181,77,5.0,5.0,7.0,1.0,1.0,3,75.0,68.0,0.12,19,19,22,9,False
nutch,Public Static Class,org.apache.nutch.indexer.solr.SolrDeleteDuplicates.SolrInputFormat,2.0,2.0,2.0,1.0,44.0,9.0,35.0,0.0,2.0,4.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,93,20,72,21,52,1,41,54,26,3.0,3.0,3.0,1.0,1.0,1,0.0,0.0,0.01,5,5,5,2,False
nutch,Anonymous Class,org.apache.nutch.indexer.solr.SolrDeleteDuplicates.SolrInputFormat.getRecordReader.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,,0.0,0.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,0.0,0.0,0.0,6.0,35,9,26,2,20,0,12,19,9,2.0,2.0,2.0,1.0,2.0,1,50.0,50.0,0.0,7,7,7,6,False
nutch,Public Static Class,org.apache.nutch.indexer.solr.SolrDeleteDuplicates.SolrInputSplit,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,8.0,2.0,8.0,8.0,8.0,2.0,8.0,8.0,0.0,0.0,0.0,8.0,38,9,29,11,10,0,12,21,11,1.0,1.0,1.0,1.0,1.0,0,43.0,43.0,0.0,8,8,8,8,False
nutch,Public Static Class,org.apache.nutch.indexer.solr.SolrDeleteDuplicates.SolrRecord,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,,0.0,0.0,9.0,3.0,9.0,9.0,9.0,3.0,9.0,9.0,0.0,0.0,0.0,9.0,52,11,41,14,19,0,22,32,14,1.0,1.0,1.0,1.0,1.0,0,33.0,33.0,0.0,9,9,9,9,False
nutch,Public Class,org.apache.nutch.indexer.solr.SolrIndexer,2.0,2.0,2.0,1.0,15.0,2.0,13.0,0.0,2.0,9.0,0.0,,1.0,1.0,5.0,0.0,6.0,6.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,102,19,82,27,57,1,44,61,25,8.0,8.0,8.0,3.0,2.0,3,66.0,50.0,0.01,15,15,15,8,False
nutch,Public Class,org.apache.nutch.indexer.solr.SolrMappingReader,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,1.0,2.0,0.0,,1.0,1.0,8.0,4.0,9.0,9.0,8.0,4.0,9.0,9.0,0.0,1.0,1.0,7.0,105,12,93,28,60,0,49,70,30,11.0,11.0,11.0,1.0,1.0,3,73.0,53.0,0.0,23,23,23,9,False
nutch,Public Class,org.apache.nutch.indexer.solr.SolrUtils,2.0,2.0,6.0,1.0,20.0,5.0,13.0,3.0,1.0,2.0,0.0,,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,47,14,30,10,20,6,17,23,11,3.0,3.0,10.0,1.0,1.0,2,50.0,50.0,0.2,5,5,12,2,False
nutch,Public Class,org.apache.nutch.indexer.solr.SolrWriter,3.0,3.0,3.0,1.0,14.0,0.0,12.0,0.0,2.0,4.0,0.0,,1.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,72,11,59,15,36,2,28,44,16,8.0,8.0,8.0,1.0,1.0,3,44.0,44.0,0.03,13,13,13,4,False
nutch,Public Class,org.apache.nutch.indexer.staticfield.StaticFieldIndexer,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,2.0,5.0,0.0,,0.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,3.0,64,7,34,12,17,23,14,26,13,3.0,3.0,3.0,1.0,1.0,2,50.0,50.0,0.68,9,9,9,4,False
nutch,Public Class,org.apache.nutch.indexer.subcollection.SubcollectionIndexingFilter,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,2.0,7.0,0.0,,0.0,2.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,38,6,20,8,9,12,8,15,9,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.6,5,5,5,4,False
nutch,Public Class,org.apache.nutch.indexer.tld.TLDIndexingFilter,1.0,1.0,1.0,1.0,7.0,1.0,5.0,0.0,2.0,7.0,0.0,,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,49,8,21,9,10,20,9,14,8,2.0,2.0,2.0,1.0,1.0,1,33.0,33.0,0.95,4,4,4,3,False
nutch,Public Class,org.apache.nutch.indexer.urlmeta.URLMetaIndexingFilter,2.0,2.0,3.0,1.0,13.0,2.0,7.0,4.0,2.0,5.0,0.0,,0.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,104,10,29,11,17,65,13,23,10,5.0,5.0,6.0,1.0,1.0,2,16.0,16.0,2.24,8,8,9,3,False
nutch,Public Class,org.apache.nutch.metadata.MetaWrapper,1.0,1.0,1.0,1.0,6.0,0.0,3.0,2.0,1.0,1.0,0.0,,0.0,0.0,10.0,1.0,10.0,16.0,10.0,1.0,10.0,16.0,0.0,0.0,0.0,10.0,99,10,42,12,19,47,20,32,12,2.0,2.0,2.0,1.0,4.0,1,0.0,0.0,1.12,11,11,11,10,False
nutch,Public Class,org.apache.nutch.metadata.Metadata,2.0,2.0,2.0,1.0,11.0,0.0,7.0,3.0,8.0,0.0,1.0,,0.0,0.0,16.0,1.0,16.0,16.0,16.0,1.0,16.0,16.0,0.0,1.0,0.0,15.0,218,23,130,38,77,65,72,109,46,8.0,8.0,8.0,8.0,1.0,3,31.0,0.0,0.5,36,36,37,23,False
nutch,Public Class,org.apache.nutch.metadata.SpellCheckedMetadata,1.0,1.0,2.0,1.0,9.0,0.0,5.0,3.0,1.0,0.0,0.0,,2.0,3.0,5.0,1.0,7.0,23.0,5.0,1.0,7.0,23.0,0.0,1.0,0.0,6.0,125,15,66,25,33,44,27,46,23,5.0,5.0,7.0,1.0,2.0,3,92.0,57.0,0.67,13,13,15,7,False
nutch,Public Class,org.apache.nutch.metadata.TestMetadata,1.0,1.0,1.0,1.0,16.0,1.0,14.0,1.0,1.0,1.0,0.0,,2.0,1.0,12.0,0.0,14.0,14.0,12.0,0.0,14.0,14.0,0.0,1.0,0.0,13.0,271,34,200,37,166,37,162,181,38,4.0,4.0,5.0,1.0,2.0,2,0.0,0.0,0.18,18,18,19,14,False
nutch,Public Class,org.apache.nutch.metadata.TestSpellCheckedMetadata,1.0,1.0,1.0,1.0,15.0,0.0,13.0,1.0,1.0,4.0,0.0,,3.0,1.0,13.0,0.0,16.0,16.0,13.0,0.0,16.0,16.0,0.0,1.0,0.0,15.0,291,31,218,40,181,42,173,192,41,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.19,18,18,18,16,False
nutch,Public Class,org.apache.nutch.microformats.reltag.RelTagIndexingFilter,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,8.0,0.0,,0.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,62,11,19,7,7,32,8,14,7,3.0,3.0,3.0,1.0,1.0,2,33.0,33.0,1.68,5,5,5,3,False
nutch,Public Class,org.apache.nutch.microformats.reltag.RelTagParser,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,2.0,7.0,0.0,,0.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,129,22,67,27,39,40,31,49,27,2.0,2.0,2.0,1.0,1.0,1,33.0,33.0,0.6,4,4,4,3,False
nutch,Private Static Class,org.apache.nutch.microformats.reltag.RelTagParser.Parser,3.0,3.0,3.0,1.0,12.0,0.0,10.0,1.0,1.0,1.0,0.0,,1.0,0.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,58,8,44,14,26,6,19,32,15,8.0,8.0,9.0,1.0,1.0,6,25.0,25.0,0.14,12,12,13,4,False
nutch,Public Class,org.apache.nutch.net.TestURLFilters,1.0,1.0,1.0,1.0,13.0,1.0,8.0,5.0,1.0,3.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,17,3,10,6,6,5,6,8,6,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.5,1,1,1,1,False
nutch,Public Class,org.apache.nutch.net.TestURLNormalizers,7.0,7.0,8.0,1.0,34.0,4.0,28.0,5.0,1.0,3.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,37,5,30,9,22,5,18,26,10,7.0,7.0,8.0,1.0,2.0,2,0.0,0.0,0.17,7,7,8,1,False
nutch,Public Class,org.apache.nutch.net.URLFilterChecker,4.0,4.0,4.0,1.0,22.0,3.0,18.0,0.0,1.0,6.0,0.0,,1.0,0.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,119,19,76,21,52,24,41,58,21,7.0,7.0,7.0,3.0,1.0,2,25.0,0.0,0.32,16,16,16,6,False
