project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
ivy,Anonymous Class,org.apache.ivy.core.repository.RepositoryManagementEngine.getAllRevisions.(Anon_1),2.0,2.0,2.0,1.0,8.0,0.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9,0,7,2,6,2,3,4,3,2.0,2.0,2.0,1.0,2.0,0,0.0,0.0,0.29,2,2,2,1,False
ivy,Public Class,org.apache.ivy.core.repository.RepositoryManagementEngineTest,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,39,6,33,8,21,0,14,19,8,1.0,1.0,1.0,1.0,2.0,0,12.0,12.0,0.0,4,4,4,4,False
ivy,Public Class,org.apache.ivy.core.resolve.DownloadOptions,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,5,1,4,2,0,0,0,2,2,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1,1,1,1,False
ivy,Public Class,org.apache.ivy.core.resolve.IvyNode,2.0,2.0,2.0,1.0,10.0,0.0,8.0,1.0,2.0,44.0,0.0,1.0,1.0,99.0,99.0,98.0,17.0,2.0,22.0,1.0,74.0,1234,152,886,219,563,205,437,633,232,19.0,19.0,24.0,14.0,1.0,7,92.0,86.0,0.23,213,213,232,137,False
ivy,Public Class,org.apache.ivy.core.resolve.IvyNodeBlacklist,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,0.0,0.0,0.0,7.0,49,11,34,14,12,4,16,24,13,1.0,1.0,1.0,1.0,1.0,0,57.0,57.0,0.12,7,7,7,7,False
ivy,Public Class,org.apache.ivy.core.resolve.IvyNodeCallers,3.0,3.0,3.0,1.0,12.0,0.0,11.0,1.0,1.0,9.0,0.0,0.0,0.0,12.0,12.0,12.0,3.0,4.0,1.0,0.0,7.0,279,37,217,65,123,27,106,159,69,6.0,6.0,6.0,6.0,1.0,4,61.0,52.0,0.12,36,36,36,21,False
ivy,Public Static Class,org.apache.ivy.core.resolve.IvyNodeCallers.Caller,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,14.0,14.0,14.0,6.0,0.0,1.0,0.0,13.0,99,19,78,28,38,3,37,57,28,4.0,4.0,4.0,1.0,1.0,3,75.0,73.0,0.04,19,19,22,14,False
ivy,Public Class,org.apache.ivy.core.resolve.IvyNodeEviction,2.0,2.0,2.0,1.0,11.0,0.0,9.0,1.0,1.0,5.0,0.0,0.0,0.0,19.0,19.0,19.0,6.0,0.0,1.0,0.0,18.0,400,51,273,92,158,83,143,201,99,8.0,8.0,8.0,4.0,1.0,4,82.0,80.0,0.3,50,50,53,24,False
ivy,Public Static Class,org.apache.ivy.core.resolve.IvyNodeEviction.EvictionData,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,9.0,9.0,9.0,5.0,0.0,0.0,0.0,9.0,101,13,46,17,18,43,19,30,15,3.0,3.0,3.0,1.0,1.0,1,64.0,53.0,0.93,11,11,11,9,False
ivy,Private Static Class,org.apache.ivy.core.resolve.IvyNodeEviction.ModuleIdConf,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,41,6,33,9,16,2,14,23,9,3.0,3.0,3.0,1.0,1.0,1,60.0,19.0,0.06,8,8,9,5,False
ivy,Public Class,org.apache.ivy.core.resolve.IvyNodeUsage,1.0,1.0,1.0,1.0,8.0,0.0,6.0,2.0,1.0,7.0,0.0,0.0,0.0,20.0,20.0,20.0,5.0,0.0,4.0,12.0,4.0,295,41,188,63,97,70,92,138,66,4.0,4.0,5.0,4.0,1.0,2,82.0,79.0,0.37,34,34,35,26,False
ivy,Private Static Class,org.apache.ivy.core.resolve.IvyNodeUsage.Depender,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,27,3,24,9,11,0,12,18,9,2.0,2.0,3.0,1.0,1.0,1,0.0,0.0,0.0,5,5,6,4,False
ivy,Private Static Class,org.apache.ivy.core.resolve.IvyNodeUsage.NodeConf,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,6.0,45,7,36,10,17,2,15,25,10,3.0,3.0,3.0,1.0,1.0,1,58.0,25.0,0.06,9,9,10,6,False
ivy,Public Class,org.apache.ivy.core.resolve.ResolveData,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,14.0,0.0,0.0,0.0,27.0,27.0,27.0,6.0,3.0,0.0,0.0,24.0,234,34,148,50,75,53,71,106,51,5.0,5.0,5.0,1.0,1.0,3,81.0,72.0,0.36,38,38,40,27,False
ivy,Public Class,org.apache.ivy.core.resolve.ResolveEngine,4.0,4.0,5.0,1.0,31.0,1.0,21.0,8.0,1.0,47.0,0.0,0.0,0.0,33.0,33.0,33.0,5.0,0.0,13.0,0.0,20.0,1088,98,711,165,514,280,344,483,158,20.0,20.0,21.0,8.0,1.0,7,81.0,67.0,0.39,151,151,170,48,False
ivy,Public Class,org.apache.ivy.core.resolve.ResolveEngineTest,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,12.0,0.0,0.0,0.0,6.0,6.0,6.0,2.0,0.0,2.0,2.0,2.0,66,14,52,18,36,0,28,35,16,1.0,1.0,1.0,1.0,2.0,0,50.0,50.0,0.0,6,6,6,6,False
ivy,Public Class,org.apache.ivy.core.resolve.ResolveOptions,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,0.0,2.0,3.0,32.0,36.0,30.0,13.0,0.0,0.0,0.0,32.0,283,50,150,51,77,83,78,114,51,3.0,3.0,4.0,3.0,2.0,2,90.0,90.0,0.55,35,35,36,34,False
