project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
hadoop,Anonymous Class,org.apache.hadoop.mapred.ReduceTask.run.(Anon_2),4.0,4.0,4.0,4.0,15.0,0.0,15.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16,0,16,1,13,0,5,8,1,4.0,4.0,4.0,4.0,2.0,2,0.0,0.0,0.0,4,4,4,4,False
hadoop,Public Class,org.apache.hadoop.mapred.MapReduceBase,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,19.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,33,3,6,3,0,24,0,3,3,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,4.0,2,2,2,2,False
hadoop,Public Abstract Class,org.apache.hadoop.mapred.OutputFormatBase,1.0,1.0,2.0,1.0,11.0,0.0,7.0,4.0,2.0,7.0,3.0,4.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,89,7,41,13,20,41,12,22,9,3.0,3.0,5.0,3.0,1.0,2,0.0,0.0,1.0,9,9,11,7,False
hadoop,Public Class,org.apache.hadoop.io.SequenceFile,3.0,3.0,3.0,1.0,22.0,1.0,12.0,8.0,1.0,14.0,0.0,8.0,8.0,9.0,9.0,1.0,0.0,0.0,2.0,0.0,7.0,2331,333,1540,505,1007,540,828,1148,405,5.0,5.0,7.0,1.0,1.0,1,100.0,100.0,0.35,27,27,34,9,True
