project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
wicket,Anonymous Class,org.apache.wicket.stateless.pages.StatelessFormTest.setUp.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,113.0,3.0,0.0,0.0,0.0,2.0,1.0,20.0,2.0,17.0,0.0,10.0,1.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.06,3,3,3,3,False
wicket,Public Class,org.apache.wicket.stateless.pages.UsernamePasswordSignInPanel,1.0,1.0,1.0,1.0,11.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,2.0,2.0,278.0,2.0,0.0,0.0,0.0,0.0,2.0,128.0,15.0,65.0,18.0,31.0,48.0,26.0,37.0,17.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.74,2,2,2,2,False
wicket,Public Static Class,org.apache.wicket.stateless.pages.UsernamePasswordSignInPanel.SignInForm,1.0,1.0,1.0,1.0,18.0,1.0,10.0,6.0,1.0,12.0,0.0,0.0,1.0,4.0,362.0,4.0,2.0,0.0,0.0,0.0,4.0,90.0,10.0,49.0,13.0,24.0,31.0,19.0,27.0,12.0,4.0,4.0,4.0,1.0,6.0,2.0,25.0,25.0,0.63,7,7,7,4,False
wicket,Public Class,org.apache.wicket.threadtest.App1Test1,1.0,1.0,1.0,1.0,22.0,3.0,12.0,7.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,5.0,16.0,7.0,10.0,10.0,6.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.63,1,1,1,1,False
wicket,Public Class,org.apache.wicket.threadtest.App1Test2,1.0,1.0,1.0,1.0,15.0,3.0,7.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,5.0,11.0,6.0,5.0,8.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.73,1,1,1,1,False
wicket,Public Class,org.apache.wicket.threadtest.App1Test3,2.0,2.0,2.0,1.0,21.0,3.0,13.0,5.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,5.0,17.0,6.0,9.0,8.0,9.0,12.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.47,2,2,2,1,False
wicket,Public Class,org.apache.wicket.threadtest.App2Test1,1.0,1.0,1.0,1.0,22.0,6.0,7.0,9.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,8.0,11.0,6.0,5.0,12.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.09,1,1,1,1,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.Contact,1.0,1.0,1.0,1.0,8.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,14.0,14.0,14.0,5.0,0.0,0.0,0.0,14.0,160.0,22.0,87.0,24.0,27.0,51.0,24.0,42.0,22.0,4.0,4.0,7.0,4.0,1.0,1.0,75.0,70.0,0.59,17,17,20,17,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.ContactDataProvider,1.0,1.0,1.0,1.0,7.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,4.0,54.0,6.0,23.0,7.0,5.0,25.0,5.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.09,5,5,5,5,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.ContactGenerator,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,8.0,8.0,7.0,2.0,0.0,4.0,0.0,4.0,96.0,13.0,59.0,20.0,30.0,24.0,17.0,27.0,15.0,2.0,2.0,2.0,1.0,1.0,1.0,87.0,75.0,0.41,9,9,9,8,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.ContactsDatabase,1.0,1.0,1.0,1.0,16.0,0.0,11.0,3.0,1.0,2.0,0.0,0.0,0.0,9.0,9.0,9.0,5.0,0.0,1.0,2.0,6.0,174.0,21.0,113.0,18.0,57.0,40.0,42.0,62.0,23.0,6.0,6.0,6.0,4.0,1.0,1.0,55.0,24.0,0.35,17,17,17,12,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.ContactsDatabase.updateIndecies.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.ContactsDatabase.updateIndecies.(Anon_2),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
