project,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
eclipse.jdt.core,org.eclipse.jdt.core.CompletionProposal,1.0,1.0,1.0,1.0,22.0,0.0,2.0,20.0,1.0,2.0,1.0,,1.0,31.0,38.0,0.0,39.0,39.0,38.0,0.0,39.0,39.0,0.0,0.0,0.0,39.0,1799.0,72.0,135.0,71.0,55.0,1615.0,55.0,95.0,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.96,39,39,39,39,False
eclipse.jdt.core,org.eclipse.jdt.core.CompletionRequestor,1.0,1.0,2.0,1.0,17.0,0.0,5.0,12.0,1.0,3.0,3.0,,0.0,0.0,16.0,4.0,16.0,16.0,16.0,4.0,16.0,16.0,0.0,0.0,0.0,16.0,370.0,25.0,84.0,21.0,41.0,267.0,26.0,52.0,21.0,5.0,5.0,7.0,1.0,1.0,1.0,85.0,83.0,3.18,26,26,32,15,False
eclipse.jdt.core,org.eclipse.jdt.core.CompletionRequestorAdapter,1.0,1.0,1.0,1.0,9.0,0.0,8.0,1.0,2.0,1.0,0.0,,0.0,0.0,14.0,0.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,192.0,14.0,141.0,126.0,0.0,37.0,0.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.26,14,14,14,14,False
eclipse.jdt.core,org.eclipse.jdt.core.CorrectionEngine,3.0,3.0,4.0,2.0,33.0,2.0,17.0,13.0,1.0,19.0,0.0,,3.0,6.0,5.0,7.0,8.0,8.0,5.0,7.0,8.0,8.0,0.0,2.0,0.0,6.0,473.0,31.0,256.0,61.0,209.0,193.0,118.0,153.0,62.0,11.0,9.0,14.0,9.0,1.0,3.0,82.0,53.0,0.75,30,25,33,18,False
eclipse.jdt.core,org.eclipse.jdt.core.CorrectionEngine.(Anon_1),14.0,10.0,15.0,1.0,96.0,0.0,96.0,0.0,1.0,6.0,0.0,,0.0,0.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,101.0,0.0,98.0,17.0,89.0,3.0,31.0,41.0,18.0,14.0,10.0,15.0,1.0,2.0,3.0,0.0,0.0,0.03,14,10,15,1,False
eclipse.jdt.core,org.eclipse.jdt.core.ElementChangedEvent,1.0,1.0,1.0,1.0,10.0,0.0,3.0,6.0,1.0,1.0,0.0,,0.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,127.0,7.0,17.0,9.0,8.0,104.0,9.0,13.0,9.0,1.0,1.0,1.0,1.0,2.0,0.0,33.0,33.0,6.12,3,3,3,3,False
eclipse.jdt.core,org.eclipse.jdt.core.Flags,1.0,1.0,1.0,1.0,12.0,0.0,4.0,8.0,1.0,2.0,0.0,,24.0,23.0,1.0,0.0,25.0,25.0,1.0,0.0,25.0,25.0,0.0,1.0,0.0,24.0,490.0,18.0,128.0,51.0,76.0,357.0,63.0,102.0,51.0,14.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,2.79,38,38,38,25,False
eclipse.jdt.core,org.eclipse.jdt.core.JDTCompilerAdapter,14.0,14.0,15.0,4.0,84.0,5.0,59.0,25.0,1.0,5.0,0.0,,0.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,0.0,3.0,2.0,1.0,555.0,37.0,372.0,74.0,284.0,180.0,200.0,286.0,79.0,41.0,41.0,43.0,10.0,2.0,8.0,69.0,44.0,0.48,89,89,95,28,False
eclipse.jdt.core,org.eclipse.jdt.core.JDTCompilerAdapter.logAndAddFilesToCompile.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
eclipse.jdt.core,org.eclipse.jdt.core.JavaConventions,3.0,3.0,3.0,2.0,27.0,0.0,11.0,15.0,1.0,17.0,0.0,,23.0,4.0,1.0,0.0,24.0,24.0,1.0,0.0,24.0,24.0,0.0,2.0,0.0,22.0,867.0,41.0,281.0,61.0,172.0,554.0,118.0,196.0,61.0,13.0,13.0,18.0,10.0,1.0,3.0,0.0,0.0,1.97,79,79,94,70,False
eclipse.jdt.core,org.eclipse.jdt.core.JavaCore,2.0,2.0,3.0,1.0,28.0,0.0,12.0,17.0,1.0,70.0,0.0,,100.0,246.0,4.0,0.0,104.0,104.0,4.0,0.0,104.0,104.0,0.0,12.0,0.0,92.0,6270.0,171.0,1511.0,544.0,1099.0,4946.0,777.0,1075.0,502.0,37.0,35.0,38.0,15.0,2.0,7.0,98.0,95.0,3.27,308,294,331,174,True
eclipse.jdt.core,org.eclipse.jdt.core.JavaCore.initializeAfterLoad.(Anon_1),4.0,4.0,4.0,1.0,13.0,0.0,12.0,3.0,1.0,6.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,14.0,2.0,11.0,3.0,6.0,10.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,0.0,0.0,0.21,4,4,4,1,False
eclipse.jdt.core,org.eclipse.jdt.core.JavaCore.updateLegacyIndex.(Anon_2),1.0,1.0,1.0,1.0,8.0,0.0,7.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,9.0,0.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.11,1,1,1,1,False
eclipse.jdt.core,org.eclipse.jdt.core.JavaModelException,1.0,1.0,1.0,1.0,13.0,0.0,7.0,7.0,1.0,2.0,0.0,,0.0,1.0,10.0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,10.0,181.0,5.0,77.0,22.0,43.0,105.0,32.0,51.0,19.0,3.0,3.0,3.0,1.0,2.0,2.0,70.0,30.0,1.36,16,16,17,10,False
eclipse.jdt.core,org.eclipse.jdt.core.NamingConventions,1.0,1.0,2.0,1.0,34.0,0.0,10.0,24.0,1.0,6.0,0.0,,23.0,10.0,1.0,0.0,24.0,24.0,1.0,0.0,24.0,24.0,0.0,6.0,0.0,18.0,1140.0,46.0,424.0,106.0,321.0,673.0,145.0,207.0,93.0,4.0,4.0,5.0,3.0,1.0,2.0,0.0,0.0,1.59,45,45,54,30,False
eclipse.jdt.core,org.eclipse.jdt.core.NamingConventions.NamingRequestor,3.0,3.0,4.0,1.0,28.0,0.0,28.0,0.0,2.0,0.0,0.0,,0.0,1.0,5.0,18.0,5.0,5.0,5.0,18.0,5.0,5.0,0.0,0.0,0.0,5.0,180.0,10.0,166.0,42.0,137.0,4.0,67.0,87.0,37.0,8.0,8.0,9.0,1.0,1.0,2.0,60.0,60.0,0.02,19,19,20,5,False
eclipse.jdt.core,org.eclipse.jdt.core.Signature,5.0,4.0,5.0,2.0,31.0,0.0,18.0,13.0,1.0,3.0,0.0,,79.0,58.0,1.0,0.0,80.0,80.0,1.0,0.0,80.0,80.0,0.0,21.0,0.0,59.0,2993.0,103.0,1534.0,334.0,1170.0,1417.0,878.0,1194.0,364.0,39.0,24.0,39.0,25.0,1.0,5.0,0.0,0.0,0.92,437,336,450,227,False
eclipse.jdt.core,org.eclipse.jdt.core.SourceRange,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,2.0,0.0,0.0,,1.0,0.0,6.0,2.0,7.0,7.0,6.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,88.0,6.0,40.0,17.0,17.0,46.0,18.0,27.0,12.0,2.0,2.0,3.0,1.0,1.0,1.0,28.0,28.0,1.15,8,8,10,7,False
eclipse.jdt.core,org.eclipse.jdt.core.ToolFactory,3.0,3.0,4.0,2.0,35.0,0.0,15.0,20.0,1.0,27.0,0.0,,13.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,526.0,18.0,208.0,54.0,146.0,324.0,93.0,144.0,52.0,10.0,10.0,11.0,8.0,1.0,7.0,0.0,0.0,1.56,51,51,52,33,False
eclipse.jdt.core,org.eclipse.jdt.core.ToolFactory.createDefaultClassFileDisassembler.DeprecatedDisassembler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0,0,0,0,False
eclipse.jdt.core,org.eclipse.jdt.core.WorkingCopyOwner,1.0,1.0,1.0,1.0,31.0,0.0,4.0,26.0,1.0,14.0,3.0,,1.0,0.0,6.0,0.0,7.0,7.0,6.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,257.0,9.0,31.0,14.0,15.0,217.0,15.0,23.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,7,7,7,7,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.BuildContext,1.0,1.0,1.0,1.0,8.0,0.0,2.0,6.0,1.0,1.0,1.0,,0.0,0.0,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,99.0,8.0,22.0,9.0,4.0,73.0,4.0,13.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.32,8,8,8,8,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.CategorizedProblem,1.0,1.0,1.0,1.0,14.0,0.0,3.0,11.0,2.0,2.0,1.0,,0.0,18.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,172.0,5.0,32.0,25.0,21.0,135.0,23.0,27.0,24.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.22,3,3,3,3,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.CharOperation,5.0,5.0,5.0,3.0,51.0,1.0,17.0,33.0,1.0,1.0,0.0,,82.0,5.0,0.0,0.0,82.0,82.0,0.0,0.0,82.0,82.0,0.0,1.0,0.0,81.0,4337.0,165.0,1423.0,332.0,1045.0,2784.0,722.0,1114.0,301.0,32.0,32.0,49.0,30.0,1.0,5.0,0.0,0.0,1.96,428,428,487,299,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.CompilationParticipant,1.0,1.0,1.0,1.0,13.0,0.0,2.0,10.0,1.0,3.0,0.0,,0.0,2.0,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,156.0,10.0,23.0,11.0,5.0,123.0,5.0,14.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.35,8,8,8,8,False
