JDBCDatabaseMetaData.java, org.hsqldb.jdbc: 6294
FunctionCustom.java, org.hsqldb: 2989
Table.java, org.hsqldb: 2904
JDBCSQLXML.java, org.hsqldb.jdbc: 3142
SchemaManager.java, org.hsqldb: 2627
DatabaseInformationMain.java, org.hsqldb.dbinfo: 3602
JDBCPreparedStatement.java, org.hsqldb.jdbc: 4729
JDBCConnection.java, org.hsqldb.jdbc: 3835
DatabaseManagerSwing.java, org.hsqldb.util: 3096
Scanner.java, org.hsqldb: 2536
SqlFile.java, org.hsqldb.cmdline: 5554
