project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
nutch,Private Method,org.apache.nutch.net.URLNormalizers.getExtensions,5.0,34,2,19,4,13,13,5.0,4.0,1.0,8,12,3,9,4.0,4.0,4.0,1.0,2.0,0.0,2,0.0,0.68,4,4,4,1,False
nutch,Public Method,org.apache.nutch.segment.SegmentPart.toString,4.0,7,0,3,1,1,4,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.33,1,1,1,1,False
nutch,Public Method,org.apache.nutch.plugin.TestPluginSystem.testGetResources,4.0,19,1,15,5,11,3,5.0,3.0,0.0,9,12,5,7,3.0,3.0,3.0,3.0,1.0,1.0,2,1.0,0.2,3,3,3,3,False
nutch,Public Method,org.apache.nutch.fetcher.Fetcher.FetcherThread.run,49.0,222,17,191,30,158,21,61.0,31123.0,4.0,99,128,23,105,41.0,30.0,46.0,17.0,43.0,37.0,8,35.0,0.11,41,30,46,17,False
nutch,Public Method,org.apache.nutch.protocol.httpclient.DummySSLProtocolSocketFactory.equals,2.0,3,0,3,1,1,0,3.0,1.0,0.0,1,2,1,1,1.0,1.0,2.0,1.0,0.0,0.0,0,0.0,0.0,1,1,2,1,False
nutch,Public Method,org.apache.nutch.protocol.ProtocolOutput.getStatus,5.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Private Method,org.apache.nutch.parse.tika.DOMBuilder.isOutsideDocElem,8.0,9,0,4,1,1,5,3.0,1.0,0.0,1,2,1,1,1.0,1.0,4.0,1.0,0.0,0.0,0,0.0,1.25,1,1,4,1,False
nutch,Public Constructor,org.apache.nutch.util.TestNodeWalker.TestNodeWalker,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Private Method,org.apache.nutch.protocol.http.HttpResponse.processHeaderLine,3.0,25,2,23,8,17,2,6.0,15.0,1.0,14,21,7,14,7.0,7.0,8.0,7.0,6.0,6.0,3,6.0,0.09,7,7,8,7,False
nutch,Public Method,org.apache.nutch.crawl.TestGenerator.ScoreComparator.compare,3.0,9,0,9,1,5,0,2.0,3.0,0.0,3,6,1,5,3.0,3.0,3.0,3.0,2.0,2.0,1,2.0,0.0,3,3,3,3,False
nutch,Public Method,org.apache.nutch.parse.Outlink.equals,4.0,8,0,8,2,6,0,2.0,2.0,0.0,3,5,2,3,2.0,2.0,3.0,1.0,1.0,0.0,1,0.0,0.0,2,2,3,1,False
nutch,Method,org.apache.nutch.util.domain.DomainSuffixesReader.readCCTLD,2.0,7,0,7,5,5,0,6.0,1.0,0.0,5,6,5,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Public Method,org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner.close,0.0,1,0,1,1,0,0,0.0,1.0,0.0,0,1,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
nutch,Private Method,org.apache.nutch.plugin.PluginRepository.shotDownActivatedPlugins,2.0,10,0,5,1,2,5,2.0,2.0,0.0,1,4,2,2,2.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,2,2,1,False
nutch,Public Method,org.apache.nutch.scoring.ScoringFilters.passScoreBeforeParsing,8.0,5,0,5,1,2,0,1.0,2.0,0.0,3,5,2,3,2.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0,2,2,2,1,False
nutch,Public Method,org.apache.nutch.protocol.httpclient.HttpResponse.getCode,1.0,3,0,3,1,1,0,1.0,1.0,0.0,1,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1,1,1,1,False
