project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
ant,Protected Method,org.apache.tools.ant.AntClassLoader.definePackage,3.0,29.0,1.0,16.0,4.0,11.0,12.0,6.0,4.0,1.0,7.0,11.0,4.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,0.75,4,4,4,3,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.definePackage,11.0,64.0,2.0,53.0,12.0,40.0,9.0,9.0,774.0,3.0,27.0,39.0,12.0,27.0,12.0,12.0,13.0,1.0,1.0,0.0,2.0,0.0,0.17,12,12,13,1,False
ant,Private Method,org.apache.tools.ant.AntClassLoader.findBaseClass,4.0,18.0,0.0,3.0,1.0,1.0,15.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.findClass,8.0,15.0,0.0,4.0,1.0,2.0,11.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.75,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.AntClassLoader.findClassInComponents,7.0,41.0,0.0,27.0,6.0,20.0,14.0,10.0,5.0,1.0,11.0,16.0,5.0,11.0,5.0,5.0,5.0,5.0,8.0,8.0,4.0,8.0,0.52,5,5,5,5,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.findResources,1.0,12.0,0.0,3.0,1.0,1.0,10.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.33,1,1,1,1,False
ant,Protected Method,org.apache.tools.ant.AntClassLoader.findResources,6.0,39.0,0.0,19.0,5.0,11.0,23.0,7.0,6.0,1.0,7.0,11.0,3.0,8.0,5.0,5.0,7.0,3.0,3.0,2.0,1.0,2.0,1.21,5,5,7,3,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.forceLoadClass,3.0,25.0,2.0,8.0,2.0,5.0,15.0,4.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.88,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.AntClassLoader.forceLoadSystemClass,2.0,26.0,2.0,8.0,2.0,5.0,16.0,4.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2,2,2,1,False
ant,Private Method,org.apache.tools.ant.AntClassLoader.getCertificates,4.0,23.0,0.0,12.0,4.0,7.0,11.0,5.0,3.0,0.0,5.0,8.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,0.92,4,4,4,3,False
