Macros.java; org.gjt.sp.jedit; jEdit.java; org.gjt.sp.jedit; 1->2;82;  2->1;161
jEdit.java; org.gjt.sp.jedit; Mode.java; org.gjt.sp.jedit; 1->2;60;  2->1;188
jEdit.java; org.gjt.sp.jedit; VFS.java; org.gjt.sp.jedit.io; 1->2;79;  2->1;202
Buffer.java; org.gjt.sp.jedit; VFS.java; org.gjt.sp.jedit.io; 1->2;37;  2->1;159
