JobClient.java: org.apache.hadoop.mapred PiEstimator.java: org.apache.hadoop.mapred 1->2: 13  2->1: 2
Sort.java: org.apache.hadoop.examples JobConf.java: org.apache.hadoop.mapred 1->2: 0  2->1: 29
Path.java: org.apache.hadoop.fs TestTextInputFormat.java: org.apache.hadoop.mapred 1->2: 37  2->1: 0
FileSystem.java: org.apache.hadoop.fs TestMapRed.java: org.apache.hadoop.record.test 1->2: 82  2->1: 0
NNBench.java: org.apache.hadoop.examples BytesWritable.java: org.apache.hadoop.io 1->2: 0  2->1: 24
Block.java: org.apache.hadoop.dfs ClusterTestDFS.java: org.apache.hadoop.dfs 1->2: 20  2->1: 0
UTF8.java: org.apache.hadoop.io Logalyzer.java: org.apache.hadoop.tools 1->2: 99  2->1: 0
InputArchive.java: org.apache.hadoop.record CsvInputArchive.java: org.apache.hadoop.record 1->2: 19  2->1: 15
DFSFileInfo.java: org.apache.hadoop.dfs UTF8.java: org.apache.hadoop.io 1->2: 21  2->1: 27
Path.java: org.apache.hadoop.fs TestLocalFileSystem.java: org.apache.hadoop.fs 1->2: 78  2->1: 0
JobTracker.java: org.apache.hadoop.mapred JobSubmissionProtocol.java: org.apache.hadoop.mapred 1->2: 17  2->1: 15
SequenceFileInputFilter.java: org.apache.hadoop.mapred TestSequenceFileInputFilter.java: org.apache.hadoop.mapred 1->2: 27  2->1: 0
ContextFactory.java: org.apache.hadoop.metrics AbstractMetricsContext.java: org.apache.hadoop.metrics.spi 1->2: 18  2->1: 11
XmlOutputArchive.java: org.apache.hadoop.record RecordWriter.java: org.apache.hadoop.record 1->2: 7  2->1: 9
Configuration.java: org.apache.hadoop.conf ReduceTask.java: org.apache.hadoop.mapred 1->2: 131  2->1: 4
LocalFileSystem.java: org.apache.hadoop.fs JobInProgress.java: org.apache.hadoop.mapred 1->2: 17  2->1: 0
MD5Hash.java: org.apache.hadoop.io TestMD5Hash.java: org.apache.hadoop.io 1->2: 78  2->1: 0
DF.java: org.apache.hadoop.fs TaskTracker.java: org.apache.hadoop.mapred 1->2: 37  2->1: 1
FileSplit.java: org.apache.hadoop.mapred InputFormatBase.java: org.apache.hadoop.mapred 1->2: 27  2->1: 2
FSNamesystem.java: org.apache.hadoop.dfs DatanodeInfo.java: org.apache.hadoop.dfs 1->2: 1  2->1: 73
