Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractConverter.java",1,1,1,1,18,0,9,9,,,,,1,0,1,3,,4,4,0,4,,0,0,3,1,,100,8,39,16,15,53,,,,16,22,15,7,,,,,,2,2,2,1,,,1,,,,1.36,5,5,5,3
File,"AbstractCrypt.java",1,1,1,1,14,0,8,6,,,,,1,0,3,7,,8,8,1,8,,0,2,1,5,,170,16,76,24,26,78,,,,25,37,22,15,,,,,,2,2,2,1,,,1,,,,1.03,11,11,11,7
File,"AbstractDataGridView.java",1,1,1,1,15,0,8,5,,,,,2,0,3,9,,9,9,2,9,,0,1,7,1,,200,24,97,34,38,79,,,,40,55,32,23,,,,,,3,3,3,1,,,2,,,,0.81,14,14,14,9
File,"AbstractDecimalConverter.java",1,1,1,1,13,0,7,5,,,,,1,0,1,3,,3,3,1,3,,0,0,1,2,,81,7,34,14,11,40,,,,15,21,13,8,,,,,,2,2,2,1,,,1,,,,1.18,5,5,5,3
File,"AbstractDefaultAjaxBehavior.java",2,2,2,1,22,1,14,5,,,,,1,1,3,13,,14,13,0,14,,0,0,11,3,,369,43,215,57,109,111,,,,90,124,51,73,,,,,,13,13,13,5,,,2,,,,0.52,35,35,35,17
File,"AbstractDependencyRespectingResourceAggregatingHeaderResponse.java",2,2,2,1,12,0,10,2,,,,,1,1,0,3,,3,2,0,3,,0,1,1,1,,89,7,41,19,13,41,,,,16,25,17,8,,,,,,4,4,4,1,,,3,,,,1.00,7,7,7,3
File,"AbstractFilter.java",1,1,1,1,7,0,4,2,,,,,1,0,1,5,,5,5,1,5,,0,0,4,1,,74,9,30,12,7,35,,,,12,18,12,6,,,,,,1,1,1,1,,,0,,,,1.17,5,5,5,5
File,"AbstractFormValidator.java",2,2,2,1,21,0,11,9,,,,,1,0,1,7,,7,7,0,7,,0,0,3,4,,199,18,94,25,39,87,,,,37,54,25,29,,,,,,5,5,5,1,,,3,,,,0.93,16,16,17,7
File,"AbstractGetCommand.java",2,2,2,1,15,1,9,5,,,,,1,0,0,2,,3,3,0,3,,0,0,1,2,,70,8,26,12,8,36,,,,12,18,13,5,,,,,,3,3,3,1,,,2,,,,1.38,4,4,4,2
File,"AbstractHeaderContributor.java",2,2,2,1,13,0,9,3,,,,,1,0,1,2,,3,3,0,3,,0,0,0,3,,74,7,30,12,8,37,,,,11,17,10,7,,,,,,4,4,4,1,,,2,,,,1.23,5,5,5,2
File,"AbstractHeaderResponseFilter.java",1,1,1,1,5,0,4,1,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,64,8,27,10,5,29,,,,9,15,10,5,,,,,,1,1,1,1,,,0,,,,1.07,5,5,5,5
File,"AbstractHttpSessionStore.java",1,1,1,1,14,0,7,6,,,,,2,0,2,19,,19,19,4,19,,0,0,5,14,,370,35,182,61,67,153,,,,66,100,56,44,,,,,,5,5,5,1,,,3,,,,0.84,33,33,33,19
File,"AbstractIntegerConverter.java",2,2,2,1,17,0,12,5,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,56,5,23,11,9,28,,,,13,16,10,6,,,,,,2,2,2,1,,,1,,,,1.22,2,2,2,1
File,"AbstractLicenseHeaderHandler.java",3,3,3,1,20,1,18,2,,,,,1,0,1,7,,8,8,2,8,,0,0,4,4,,190,20,142,30,60,31,,,,51,73,31,42,,,,,,10,10,10,1,,,3,,,,0.22,21,21,21,7
File,"AbstractLink.java",1,1,2,1,14,0,7,6,,,,,1,0,1,10,,10,10,2,10,,0,0,4,6,,204,20,91,23,34,93,,,,31,49,21,28,,,,,,3,3,6,1,,,1,,,,1.02,17,17,22,10
File,"AbstractListenerInterfaceRequestTarget.java",1,1,2,1,15,0,9,5,,,,,1,0,0,9,,9,9,3,9,,0,0,1,8,,205,21,109,40,44,75,,,,41,57,30,27,,,,,,4,4,6,4,,,3,,,,0.69,16,16,19,12
File,"AbstractMarkupFilter.java",1,1,1,1,8,0,3,5,,,,,1,0,0,5,,5,5,1,5,,0,0,1,4,,84,9,26,10,4,49,,,,8,14,10,4,,,,,,1,1,1,1,,,0,,,,1.88,5,5,5,5
File,"AbstractMeldingPage.java",1,1,1,1,7,0,4,3,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,36,3,10,5,2,23,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2.30,1,1,1,1
File,"AbstractMeldingPage.java",1,1,1,1,7,0,4,3,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,36,3,10,5,2,23,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2.30,1,1,1,1
File,"AbstractNumberConverter.java",4,4,4,2,34,3,21,10,,,,,1,0,1,2,,3,3,0,3,,0,0,1,2,,116,15,52,14,23,49,,,,19,29,13,16,,,,,,7,7,7,3,,,1,,,,0.94,9,9,9,4
File,"AbstractOptions.java",2,2,2,1,17,2,12,2,,,,,1,0,1,7,,8,8,1,8,,0,0,6,2,,183,31,109,40,46,43,,,,49,64,36,28,,,,,,7,7,7,1,,,3,,,,0.39,14,14,14,7
File,"AbstractOutputTransformerContainer.java",1,1,1,1,15,0,9,5,,,,,3,0,1,9,,10,10,1,10,,0,1,3,6,,191,15,100,29,36,76,,,,32,47,25,22,,,,,,3,3,3,1,,,2,,,,0.76,13,13,13,9
File,"AbstractPage.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,29,3,6,4,1,20,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3.33,0,0,0,0
File,"AbstractPageAuthorizationStrategy.java",1,1,1,1,12,0,5,6,,,,,1,0,0,4,,4,4,0,4,,0,0,2,2,,86,5,30,12,6,51,,,,10,16,10,6,,,,,,2,2,2,1,,,1,,,,1.70,5,5,5,4
File,"AbstractPageMapEntry.java",1,1,1,1,8,0,4,4,,,,,1,0,1,3,,4,4,1,4,,0,0,0,4,,67,6,20,9,4,41,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,2.05,3,3,3,3
