DistributedCache.java; org.apache.hadoop.filecache; FileSystem.java; org.apache.hadoop.fs; 1->2;0;  2->1;171
DataNode.java; org.apache.hadoop.dfs; Metrics.java; org.apache.hadoop.metrics; 1->2;3;  2->1;43
WritableComparator.java; org.apache.hadoop.io; MapFile.java; org.apache.hadoop.io; 1->2;94;  2->1;0
FSNamesystem.java; org.apache.hadoop.dfs; UTF8.java; org.apache.hadoop.io; 1->2;0;  2->1;313
DatanodeInfo.java; org.apache.hadoop.dfs; BlockCommand.java; org.apache.hadoop.dfs; 1->2;44;  2->1;11
