SearchFactory.java; com.fleax.atunes.kernel.modules.search
PlayListArtistComparator.java; com.fleax.atunes.model.player
PlayListAlbumComparator.java; com.fleax.atunes.model.player
FileViewRefresher.java; com.fleax.atunes.kernel.controllers.navigation
PlayListTitleComparator.java; com.fleax.atunes.model.player
