StandardLayouter.java: org.jhotdraw.contrib	SimpleLayouter.java: org.jhotdraw.contrib	
PolygonHandleTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
MDIDesktopPaneTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
PolygonToolTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
SplitConnectionToolTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
WindowMenuTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
CommandCheckBoxMenuItemTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
MiniMapViewTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
DesktopEventServiceTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
TextAreaToolTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
CommandMenuItemTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
CompositeFigureCreationToolTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
ComponentFigureTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
CTXWindowMenuTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
JPanelDesktopTest.java: org.jhotdraw.test.contrib	JHDTestCase.java: org.jhotdraw.test	
UngroupCommandTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
TextToolTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
FontSizeHandleTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
GroupCommandTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
InsertImageCommandTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
ScribbleToolTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
PolyLineHandleTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
BorderToolTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
ConnectedTextToolTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
ElbowHandleTest.java: org.jhotdraw.test.figures	JHDTestCase.java: org.jhotdraw.test	
PatternPainterTest.java: org.jhotdraw.test.samples.javadraw	JHDTestCase.java: org.jhotdraw.test	
AnimatorTest.java: org.jhotdraw.test.samples.javadraw	JHDTestCase.java: org.jhotdraw.test	
JavaDrawAppTest.java: org.jhotdraw.test.samples.javadraw	JHDTestCase.java: org.jhotdraw.test	
MySelectionToolTest.java: org.jhotdraw.test.samples.javadraw	JHDTestCase.java: org.jhotdraw.test	
URLToolTest.java: org.jhotdraw.test.samples.javadraw	JHDTestCase.java: org.jhotdraw.test	
PertFigureCreationToolTest.java: org.jhotdraw.test.samples.pert	JHDTestCase.java: org.jhotdraw.test	
AlignCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
ConnectionHandleTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
FigureAndEnumeratorTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
ConnectionToolTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
DragTrackerTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
InsertIntoDrawingVisitorTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
NullDrawingViewTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
DuplicateCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
FigureChangeEventMulticasterTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
ToolButtonTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
LocatorHandleTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
SelectAreaTrackerTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
PasteCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
SelectAllCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
CopyCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
CutCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
ChangeAttributeCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
DeleteFromDrawingVisitorTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
CreationToolTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
HandleEnumeratorTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
StandardDrawingViewTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
SendToBackCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
BringToFrontCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
NullToolTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
DeleteCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
HandleTrackerTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
ToggleGridCommandTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
SelectionToolTest.java: org.jhotdraw.test.standard	JHDTestCase.java: org.jhotdraw.test	
