Tool.java: org.jhotdraw.draw BezierTool.java: org.jhotdraw.draw 1->2: 10  2->1: 7
CompositeFigure.java: org.jhotdraw.draw AttributeKey.java: org.jhotdraw.draw 1->2: 4  2->1: 50
AttributeChangeEdit.java: org.jhotdraw.draw AttributeKey.java: org.jhotdraw.draw 1->2: 6  2->1: 14
DOMStorableInputOutputFormat.java: org.jhotdraw.draw NanoXMLDOMInput.java: org.jhotdraw.xml 1->2: 36  2->1: 50
AbstractViewAction.java: org.jhotdraw.app.action ToggleLineNumbersAction.java: org.jhotdraw.samples.teddy.action 1->2: 11  2->1: 15
Application.java: org.jhotdraw.app TeddyApplicationModel.java: org.jhotdraw.samples.teddy 1->2: 15  2->1: 0
LineConnectionFigure.java: org.jhotdraw.draw BezierPath.java: org.jhotdraw.geom 1->2: 33  2->1: 176
MoveHandle.java: org.jhotdraw.draw Handle.java: org.jhotdraw.draw 1->2: 10  2->1: 22
SVGApplicationModel.java: org.jhotdraw.samples.svg ResourceBundleUtil.java: org.jhotdraw.util 1->2: 0  2->1: 67
DrawingEditor.java: org.jhotdraw.draw Tool.java: org.jhotdraw.draw 1->2: 4  2->1: 24
AttributeKey.java: org.jhotdraw.draw SplitAction.java: org.jhotdraw.samples.odg.action 1->2: 50  2->1: 0
BezierPath.java: org.jhotdraw.geom Methods.java: org.jhotdraw.util 1->2: 72  2->1: 2
LineConnectionFigure.java: org.jhotdraw.draw ConnectionFigure.java: org.jhotdraw.draw 1->2: 32  2->1: 134
DrawingView.java: org.jhotdraw.draw JStringAttributeField.java: org.jhotdraw.gui 1->2: 21  2->1: 0
ChopRoundRectangleConnector.java: org.jhotdraw.draw RoundRectangleFigure.java: org.jhotdraw.draw 1->2: 7  2->1: 13
DrawingEditor.java: org.jhotdraw.draw BoundsOutlineHandle.java: org.jhotdraw.draw 1->2: 1  2->1: 18
Drawing.java: org.jhotdraw.draw ConnectionTool.java: org.jhotdraw.draw 1->2: 55  2->1: 57
AttributeKeys.java: org.jhotdraw.draw SVGTextAreaFigure.java: org.jhotdraw.samples.svg.figures 1->2: 10  2->1: 6
EditableComponent.java: org.jhotdraw.app DefaultDrawingView.java: org.jhotdraw.draw 1->2: 12  2->1: 3
AbstractCompositeFigure.java: org.jhotdraw.draw DOMOutput.java: org.jhotdraw.xml 1->2: 29  2->1: 6
AbstractConnector.java: org.jhotdraw.draw DOMOutput.java: org.jhotdraw.xml 1->2: 1  2->1: 17
HorizontalLayouter.java: org.jhotdraw.draw AttributeKey.java: org.jhotdraw.draw 1->2: 0  2->1: 66
DrawingPanel.java: org.jhotdraw.samples.draw UndoRedoManager.java: org.jhotdraw.undo 1->2: 0  2->1: 15
Geom.java: org.jhotdraw.geom SVGEllipseFigure.java: org.jhotdraw.samples.svg.figures 1->2: 20  2->1: 3
