Controller.java; freemind.controller; FreeMind.java; freemind.main; 1->2;64;  2->1;140
XMLElement.java; freemind.main; MindMapNodeModel.java; freemind.modes.mindmapmode; 1->2;197;  2->1;0
Controller.java; freemind.controller; MapView.java; freemind.view.mindmapview; 1->2;143;  2->1;133
