SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse; SemanticAnalyzerFactory.java; org.apache.hadoop.hive.ql.parse; 1->2;10;  2->1;1870
Table.java; org.apache.hadoop.hive.ql.metadata; ParseContext.java; org.apache.hadoop.hive.ql.parse; 1->2;256;  2->1;4
Task.java; org.apache.hadoop.hive.ql.exec; GenMRProcContext.java; org.apache.hadoop.hive.ql.optimizer; 1->2;112;  2->1;0
