Cache.java: org.hsqldb HsqlDatabaseProperties.java: org.hsqldb 1->2: 10  2->1: 18
jdbcResultSet.java: org.hsqldb Server.java: org.hsqldb 1->2: 8  2->1: 551
HsqlDatabaseProperties.java: org.hsqldb Log.java: org.hsqldb 1->2: 44  2->1: 24
jdbcConnection.java: org.hsqldb Result.java: org.hsqldb 1->2: 0  2->1: 521
Index.java: org.hsqldb DatabaseInformation.java: org.hsqldb 1->2: 49  2->1: 0
DataAccessPointException.java: org.hsqldb.util DataAccessPoint.java: org.hsqldb.util 1->2: 48  2->1: 6
Trace.java: org.hsqldb TableWorks.java: org.hsqldb 1->2: 44  2->1: 0
BinaryServerRowOutput.java: org.hsqldb Result.java: org.hsqldb 1->2: 15  2->1: 9
jdbcResultSet.java: org.hsqldb StringInputStream.java: org.hsqldb.lib 1->2: 0  2->1: 144
jdbcDriver.java: org.hsqldb JDBCBench.java: org.hsqldb.test 1->2: 10  2->1: 18
TextCache.java: org.hsqldb Database.java: org.hsqldb 1->2: 16  2->1: 14
Trace.java: org.hsqldb Session.java: org.hsqldb 1->2: 30  2->1: 5
Column.java: org.hsqldb Result.java: org.hsqldb 1->2: 35  2->1: 34
Database.java: org.hsqldb Session.java: org.hsqldb 1->2: 26  2->1: 348
Constraint.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 66  2->1: 0
ConnectionDialog.java: org.hsqldb.util DatabaseManager.java: org.hsqldb.util 1->2: 27  2->1: 2
DatabaseManagerSwing.java: org.hsqldb.util DatabaseManagerCommon.java: org.hsqldb.util 1->2: 11  2->1: 51
TransferSwing.java: org.hsqldb.util TransferTable.java: org.hsqldb.util 1->2: 56  2->1: 32
ByteArray.java: org.hsqldb Column.java: org.hsqldb 1->2: 39  2->1: 2
View.java: org.hsqldb Table.java: org.hsqldb 1->2: 5  2->1: 18
jdbcPreparedStatement.java: org.hsqldb HsqlDateTime.java: org.hsqldb.lib 1->2: 32  2->1: 45
Database.java: org.hsqldb FindFile.java: org.hsqldb.sample 1->2: 20  2->1: 6
TextTable.java: org.hsqldb TextCache.java: org.hsqldb 1->2: 10  2->1: 14
Trace.java: org.hsqldb HsqlDatabaseProperties.java: org.hsqldb 1->2: 60  2->1: 3
Library.java: org.hsqldb Column.java: org.hsqldb 1->2: 46  2->1: 6
Trace.java: org.hsqldb Expression.java: org.hsqldb 1->2: 63  2->1: 0
TableWorks.java: org.hsqldb Table.java: org.hsqldb 1->2: 5  2->1: 99
Trace.java: org.hsqldb Node.java: org.hsqldb 1->2: 91  2->1: 3
Expression.java: org.hsqldb DatabaseManagerCommon.java: org.hsqldb.util 1->2: 74  2->1: 0
